date,common_name,total_length,tail_length,hf_length,ear_length,weight,sex,age
2016-07-22,prairie vole,NA,33,19,NA,44,f,a
2016-07-23,prairie vole,NA,38,19,NA,38,m,a
2016-07-23,prairie vole,NA,26,17,NA,12,m,juv
2016-07-23,prairie vole,NA,28,17,NA,10,f,juv
2016-07-23,prairie vole,NA,35,19,NA,48,f,a
2016-07-23,prairie vole,NA,40,20,NA,45,m,a
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-21,prairie vole,NA,34,20,13,34,f,a
2016-07-22,prairie vole,NA,38,20,NA,40,m,a
2016-07-22,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-22,prairie vole,NA,34,20,NA,38,f,a
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-22,prairie vole,NA,33,20,NA,37,m,a
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-22,prairie vole,NA,31,19,NA,30,m,a
2016-07-23,prairie vole,NA,34,18,NA,36,m,a
2016-07-22,prairie vole,NA,32,19,NA,25,f,a
2016-07-22,prairie vole,NA,35,19,NA,40,m,a
2016-07-29,prairie vole,150,36,14,21,37,f,a
2016-07-27,prairie vole,130,31,16,20,26.1,f,juv
2016-07-29,prairie vole,133,33,14,19,24.4,f,sa
2016-08-04,prairie vole,NA,NA,NA,NA,44,m,a
2016-08-05,prairie vole,NA,NA,NA,NA,NA,m,a
2016-07-15,prairie vole,125,30,12,19,24.2,m,juv
2016-07-13,prairie vole,160,35,15,20,49.6,f,a
2016-07-15,prairie vole,130,34,13,20,22.2,f,juv
2016-07-13,prairie vole,134,29,14,19,25.1,f,sa
2016-07-14,prairie vole,155,35,15,19,41.1,m,a
2016-07-14,prairie vole,149,33,15,19,35.6,f,a
2016-07-21,prairie vole,NA,37,21,NA,28,f,a
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-22,prairie vole,NA,30,11,19,25,m,a
2016-07-12,prairie vole,123,32,12,18,24.5,m,a
2016-07-13,prairie vole,142,31,14,18,36.8,f,a
2016-07-12,prairie vole,149,35,13,21,36.4,m,a
2016-07-13,prairie vole,111,25,13,17,14.3,f,sa
2016-07-14,prairie vole,111,29,14,18,15.1,f,sa
2016-07-21,prairie vole,NA,32,20,NA,30,f,a
2016-07-22,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-20,prairie vole,NA,29,18,13,18,f,juv
2016-07-22,prairie vole,NA,27,18,NA,18,m,sa
2016-07-23,prairie vole,NA,32,18,NA,NA,m,a
2016-07-22,prairie vole,NA,30,20,NA,34,f,a
2016-07-28,prairie vole,144,37,15,20,40.1,m,a
2016-07-26,prairie vole,128,28,14,20,22.6,f,juv
2016-07-27,prairie vole,115,27,14,20,23.2,f,juv
2016-07-26,prairie vole,149,39,15,21,43,f,sa
2016-07-27,prairie vole,145,36,15,20,33.8,m,a
2016-07-27,prairie vole,149,39,16,20,49.7,f,a
2016-07-29,prairie vole,119,29,13,20,21.8,f,juv
2016-07-28,prairie vole,160,41,14,20,43.3,f,a
2016-07-29,prairie vole,164,44,14,21,42,m,a
2016-07-13,prairie vole,141,27,16,19,31.2,m,a
2016-07-15,prairie vole,99,22,10,18,10.8,m,juv
2016-07-15,prairie vole,150,34,14,20,34.5,f,a
2016-07-13,prairie vole,146,32,15,17,34.7,f,a
2016-07-14,prairie vole,155,36,16,20,37.4,m,a
2016-07-15,prairie vole,147,40,12,20,31.1,m,a
2016-07-14,prairie vole,148,36,16,18,36.2,m,a
2016-07-13,prairie vole,140,29,13,20,35.5,f,a
2016-07-22,prairie vole,NA,35,19,NA,41,m,a
2016-07-22,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-20,prairie vole,NA,33,20,NA,47,f,a
2016-07-21,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-21,prairie vole,NA,26,18,NA,18,m,juv
2016-07-22,prairie vole,NA,37,19,NA,48,m,a
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-21,prairie vole,NA,36,22,NA,39,m,a
2016-07-22,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-21,prairie vole,NA,34,20,NA,42,f,a
2016-07-23,prairie vole,NA,NA,18,NA,31,f,a
2016-07-23,prairie vole,NA,33,18,NA,41,m,a
2016-07-20,prairie vole,NA,30,21,13,33,f,a
2016-07-21,prairie vole,NA,34,20,NA,40,m,a
2016-07-22,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-23,prairie vole,112,26,19,10,17,m,juv
2016-07-20,prairie vole,142,31,19,10,39.4,f,a
2016-07-21,prairie vole,145,33,21,13,37.5,m,a
2016-07-21,prairie vole,NA,NA,NA,NA,NA,f,a
2016-07-23,prairie vole,129,33,18,9,29,m,a
2016-07-21,prairie vole,140,34,19,10,41,m,a
2016-07-22,prairie vole,145,34,20,12,29,m,a
2016-08-04,white-footed mouse,NA,NA,NA,NA,21,f,a
2016-08-05,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-04,white-footed mouse,NA,NA,NA,NA,21,f,a
2016-08-02,white-footed mouse,NA,NA,NA,NA,20,f,a
2016-08-04,white-footed mouse,NA,NA,NA,NA,NA,f,a
2016-08-02,white-footed mouse,NA,NA,NA,NA,40,f,a
2016-08-03,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-04,white-footed mouse,NA,NA,NA,NA,22,f,a
2016-08-05,white-footed mouse,NA,NA,NA,NA,NA,m,a
2016-08-03,white-footed mouse,NA,NA,NA,NA,20,f,a
2016-08-04,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-02,white-footed mouse,NA,NA,NA,NA,25,m,a
2016-08-03,white-footed mouse,NA,NA,NA,NA,32,m,a
2016-08-03,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-04,white-footed mouse,NA,NA,NA,NA,21,f,a
2016-08-02,white-footed mouse,NA,NA,NA,NA,28,m,a
2016-08-05,white-footed mouse,NA,NA,NA,NA,NA,m,a
2016-08-04,white-footed mouse,NA,NA,NA,NA,NA,m,a
2016-08-05,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-03,white-footed mouse,NA,NA,NA,NA,30,f,a
2016-08-04,white-footed mouse,NA,NA,NA,NA,25,m,a
2016-08-05,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-04,white-footed mouse,NA,NA,NA,NA,19,f,sa
2016-08-05,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-02,white-footed mouse,NA,NA,NA,NA,27,m,a
2016-08-04,white-footed mouse,NA,NA,NA,NA,NA,m,a
2016-08-04,white-footed mouse,NA,NA,NA,NA,21,f,a
2016-08-05,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-02,white-footed mouse,NA,NA,NA,NA,17,f,juv
2016-08-02,white-footed mouse,NA,NA,NA,NA,27,m,a
2016-08-03,white-footed mouse,NA,NA,NA,NA,26,m,a
2016-08-03,white-footed mouse,NA,NA,NA,NA,NA,NA,juv
2016-08-04,white-footed mouse,NA,NA,NA,NA,NA,m,sa
2016-08-05,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-05,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-13,white-footed mouse,182,76,22,23,30.8,m,a
2016-07-14,white-footed mouse,170,71,16,22,20.1,m,a
2016-07-12,white-footed mouse,176,76,17,73,31.8,m,a
2016-07-13,white-footed mouse,177,78,18,22,24.4,m,a
2016-07-12,white-footed mouse,169,77,17,22,27.6,f,a
2016-07-14,white-footed mouse,166,74,17,22,21.1,m,a
2016-07-15,white-footed mouse,170,76,17,23,29.2,f,a
2016-07-12,white-footed mouse,166,75,18,23,23.5,f,a
2016-07-15,white-footed mouse,170,81,19,23,20.7,f,a
2016-07-12,white-footed mouse,177,78,17,22,27.8,m,a
2016-07-12,white-footed mouse,172,82,17,22,22.6,f,a
2016-07-13,white-footed mouse,183,75,20,23,35.5,m,a
2016-07-13,white-footed mouse,176,79,18,22,22.7,f,a
2016-07-14,white-footed mouse,180,83,18,23,25.4,m,a
2016-07-15,white-footed mouse,165,76,18,22,19.2,f,a
2016-07-12,white-footed mouse,160,69,17,22,29,m,a
2016-07-13,white-footed mouse,175,77,18,22,25.1,m,a
2016-07-14,white-footed mouse,180,81,19,21,30.7,m,a
2016-07-12,white-footed mouse,164,76,17,22,27.8,m,a
2016-07-15,white-footed mouse,163,80,16,22,25.1,m,a
2016-07-13,white-footed mouse,171,75,17,73,22,f,a
2016-07-12,white-footed mouse,171,84,18,23,30.7,m,a
2016-07-12,white-footed mouse,172,79,17,21,22.1,f,a
2016-07-14,white-footed mouse,180,80,16,22,28.6,m,a
2016-07-12,white-footed mouse,180,87,18,23,32.8,f,a
2016-07-15,white-footed mouse,186,88,17,22,36.5,f,a
2016-07-12,white-footed mouse,182,84,19,23,38.9,m,a
2016-07-13,white-footed mouse,173,75,18,22,25.9,f,a
2016-07-14,white-footed mouse,186,81,19,23,32.4,f,a
2016-07-12,white-footed mouse,185,83,18,24,32.9,f,a
2016-07-13,white-footed mouse,174,73,17,23,20.7,m,a
2016-07-13,white-footed mouse,166,70,18,21,22.3,m,a
2016-07-14,white-footed mouse,180,80,19,22,31.2,f,a
2016-07-13,white-footed mouse,172,69,18,22,30,m,a
2016-07-13,white-footed mouse,177,80,19,22,25.8,f,a
2016-07-13,white-footed mouse,179,83,18,24,33.6,m,a
2016-07-21,white-footed mouse,NA,78,23,NA,33,m,a
2016-07-23,white-footed mouse,NA,77,21,15,19,f,a
2016-07-22,white-footed mouse,NA,71,17,21,18,f,a
2016-07-23,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-23,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-22,white-footed mouse,NA,76,22,16,25,m,a
2016-07-27,white-footed mouse,180,77,16,23,33.8,m,a
2016-07-27,white-footed mouse,195,86,17,23,39.8,f,a
2016-07-26,white-footed mouse,192,89,16,23,30.7,f,a
2016-07-28,white-footed mouse,157,70,16,21,23.3,m,a
2016-07-26,white-footed mouse,175,77,18,24,22.6,m,a
2016-07-27,white-footed mouse,155,72,15,22,18.2,f,juv
2016-07-29,white-footed mouse,179,90,16,23,32.5,m,a
2016-07-28,white-footed mouse,171,85,18,22,22.1,m,a
2016-07-27,white-footed mouse,166,76,18,23,22.5,f,a
2016-08-02,white-footed mouse,NA,84,23,NA,25,m,a
2016-08-03,white-footed mouse,NA,NA,NA,NA,NA,m,a
2016-08-04,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-02,white-footed mouse,NA,NA,NA,NA,36,f,a
2016-08-03,white-footed mouse,NA,NA,NA,NA,NA,NA,a
2016-08-04,white-footed mouse,NA,NA,NA,NA,NA,f,a
2016-08-05,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-05,white-footed mouse,NA,NA,NA,NA,NA,m,a
2016-07-26,white-footed mouse,170,84,17,24,22.5,f,a
2016-07-26,white-footed mouse,171,80,18,23,26.2,m,a
2016-07-26,white-footed mouse,155,68,16,23,21.1,m,sa
2016-07-13,white-footed mouse,171,74,16,22,24.9,m,a
2016-07-20,white-footed mouse,NA,81,22,17,23,f,a
2016-07-21,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-22,white-footed mouse,NA,72,22,16,19,m,a
2016-07-23,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-23,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-20,white-footed mouse,NA,89,23,16,29,m,a
2016-07-21,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-22,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-22,white-footed mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-20,white-footed mouse,167,78,23,14,24,m,a
2016-07-21,white-footed mouse,165,75,22,16,25,m,a
2016-07-23,white-footed mouse,163,75,22,15,20,f,a
2016-07-21,deer mouse,NA,59,20,14,14,m,a
2016-07-23,deer mouse,NA,63,19,NA,15,f,a
2016-07-20,deer mouse,NA,56,19,14,16,m,a
2016-07-21,deer mouse,NA,62,18,14,17.5,m,a
2016-07-22,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-23,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-20,deer mouse,NA,60,19,14,19,m,a
2016-07-21,deer mouse,NA,57,18,14,13.5,f,a
2016-07-21,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-22,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-22,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-23,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-23,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-22,deer mouse,NA,60,19,15,17,f,a
2016-07-23,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-22,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-21,deer mouse,NA,58,19,14,17,m,a
2016-07-23,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-20,deer mouse,NA,61,20,14,16,f,a
2016-07-21,deer mouse,NA,58,19,14,16.5,m,a
2016-07-22,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-23,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-23,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-21,deer mouse,NA,62,19,14,18.5,m,a
2016-07-26,deer mouse,150,71,17,21,19,m,a
2016-07-27,deer mouse,154,65,16,19,17.2,f,a
2016-07-28,deer mouse,148,69,16,20,15.7,m,a
2016-07-27,deer mouse,142,57,16,18,15.8,m,a
2016-07-29,deer mouse,146,60,14,20,18.7,m,a
2016-07-26,deer mouse,148,66,15,20,17.4,m,a
2016-07-27,deer mouse,147,62,15,19,18.2,m,a
2016-07-27,deer mouse,151,62,16,19,17.6,m,a
2016-07-26,deer mouse,157,61,17,20,17.8,f,a
2016-07-28,deer mouse,159,71,15,20,18.5,m,a
2016-07-27,deer mouse,149,62,16,20,23.1,m,a
2016-07-28,deer mouse,NA,NA,NA,NA,NA,f,a
2016-07-12,deer mouse,136,57,16,19,13.6,f,a
2016-07-12,deer mouse,169,55,15,19,16.1,m,a
2016-07-21,deer mouse,NA,62,19,NA,17.5,f,a
2016-07-13,deer mouse,141,60,15,19,17.6,m,a
2016-07-12,deer mouse,139,55,15,19,17.9,m,a
2016-07-14,deer mouse,136,55,18,19,15.3,f,a
2016-07-13,deer mouse,148,57,17,18,16.3,m,a
2016-07-14,deer mouse,153,61,17,20,20.7,m,a
2016-07-12,deer mouse,136,57,14,19,14.5,f,a
2016-07-13,deer mouse,143,59,17,19,21.5,m,a
2016-07-13,deer mouse,143,55,16,19,15.6,m,a
2016-08-04,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-05,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-02,deer mouse,NA,NA,NA,NA,14,f,a
2016-08-03,deer mouse,NA,NA,NA,NA,14,f,a
2016-08-03,deer mouse,NA,NA,NA,NA,20,m,a
2016-08-04,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-02,deer mouse,NA,NA,NA,NA,19,m,a
2016-08-05,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-05,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-08-04,deer mouse,NA,NA,NA,NA,16.5,f,a
2016-08-05,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-21,deer mouse,NA,58,19,15,19,m,a
2016-07-23,deer mouse,NA,58,19,NA,15,f,a
2016-07-21,deer mouse,NA,58,20,14,16,f,a
2016-07-23,deer mouse,NA,NA,NA,NA,NA,NA,NA
2016-07-20,cotton rat,NA,114,34,22,145,m,a
2016-07-22,cotton rat,NA,NA,NA,NA,NA,NA,NA
2016-07-21,cotton rat,NA,111,32,79,125,m,a
2016-07-21,cotton rat,NA,NA,NA,NA,NA,NA,NA
2016-07-23,cotton rat,NA,65,23,NA,22,m,juv
2016-08-04,cotton rat,NA,NA,NA,NA,NA,NA,NA
2016-08-05,cotton rat,NA,NA,NA,NA,NA,m,a
2016-08-03,cotton rat,NA,NA,NA,NA,100,f,a
2016-08-05,cotton rat,NA,NA,NA,NA,NA,m,a
2016-08-02,cotton rat,NA,NA,NA,NA,140,f,a
2016-08-04,cotton rat,NA,NA,NA,NA,NA,NA,NA
2016-08-05,cotton rat,NA,NA,NA,NA,NA,m,a
2016-08-04,cotton rat,NA,NA,NA,NA,56,m,sa
2016-08-04,cotton rat,NA,NA,NA,NA,NA,f,sa
2016-07-13,cotton rat,265,109,20,31,119.2,f,a
2016-07-13,cotton rat,172,72,17,24,29.5,m,sa
2016-07-14,cotton rat,251,105,19,31,102.8,f,a
2016-07-13,cotton rat,183,75,17,23,34.3,f,sa
2016-07-15,cotton rat,242,106,20,30,93.8,f,a
2016-07-12,cotton rat,250,110,19,30,83.2,f,a
2016-07-15,cotton rat,162,74,16,25,23.5,m,juv
2016-07-15,cotton rat,186,78,17,28,36.6,m,juv
2016-07-12,cotton rat,180,81,17,27,33.2,m,a
2016-07-12,cotton rat,257,118,19,31,93.5,m,a
2016-07-14,cotton rat,243,94,19,31,86.9,m,a
2016-07-14,cotton rat,186,78,18,27,35,f,sa
2016-07-14,cotton rat,265,93,20,28,185.2,f,a
2016-07-20,cotton rat,NA,105,31,16,120,f,a
2016-07-22,cotton rat,NA,NA,NA,NA,NA,NA,NA
2016-07-23,cotton rat,NA,NA,NA,NA,NA,NA,NA
2016-07-14,cotton rat,235,100,18,29,68.7,f,a
2016-07-15,cotton rat,243,107,18,31,86.1,m,a
2016-07-20,cotton rat,NA,115,30,20,125,m,a
2016-07-21,cotton rat,NA,106,31,20,140,m,a
2016-07-21,cotton rat,NA,100,29,18,97,f,a
2016-07-22,cotton rat,NA,NA,NA,NA,NA,NA,NA
2016-07-23,cotton rat,NA,NA,NA,NA,NA,NA,NA
2016-07-23,cotton rat,NA,110,31,NA,110,m,a
2016-07-29,cotton rat,199,90,20,28,35.8,m,juv
2016-07-26,cotton rat,183,78,17,26,33.6,m,juv
2016-07-29,cotton rat,146,63,15,23,19.2,f,juv
2016-07-28,cotton rat,196,88,19,29,44.2,m,sa
2016-07-28,cotton rat,186,76,17,27,34.6,m,sa
2016-07-29,cotton rat,197,89,17,28,41.9,m,sa
2016-07-26,cotton rat,187,82,18,26,33.6,m,juv
2016-07-27,cotton rat,278,126,22,31,136.2,f,a
2016-07-29,cotton rat,185,78,18,26,33.7,m,juv
2016-07-26,cotton rat,229,98,20,30,81.5,m,a
2016-07-27,cotton rat,192,84,18,28,38.6,f,juv
2016-07-27,cotton rat,198,87,18,29,40.1,m,sa
2016-07-28,cotton rat,265,105,19,30,141.3,m,a
2016-07-28,cotton rat,199,86,19,29,45.7,m,sa
2016-07-29,cotton rat,193,89,20,28,40.2,f,juv
2016-07-29,cotton rat,201,89,19,27,43.2,m,sa
2016-07-26,cotton rat,259,108,18,31,108.4,m,a
2016-07-28,cotton rat,270,95,20,31,167.1,m,a
2016-07-27,cotton rat,278,118,20,31,133.4,f,a
2016-07-28,cotton rat,232,103,19,30,77.9,f,a
2016-07-28,cotton rat,198,86,19,29,44.2,m,sa
2016-07-27,cotton rat,173,78,16,27,30.3,f,juv
